Date,Trend,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
9/28/2012,MIN,Real Estate,Health Care,US Large Cap Growth,US Large Cap Blend,Precious Metals,Technology,US Mid Cap Value,,,,,,,,,BOND
8/31/2012,MIN,Real Estate,Health Care,US Large Cap Growth,US Large Cap Blend,Precious Metals,Technology,US Mid Cap Value,,,,,,,,,BOND
7/31/2012,MIN,Real Estate,Health Care,US Large Cap Growth,US Large Cap Blend,Precious Metals,Technology,US Mid Cap Value,,,,,,,,,BOND
6/29/2012,MAX,Technology,Emerging Markets Diversified,US Mid Cap Growth,Basic Materials,US Small Cap Growth,US Mid Cap Blend,Precious Metals,US Large Cap Growth,US Large Cap Value,US Large Cap Blend,US Mid Cap Value,US Small Cap Blend,,,,BOND
5/31/2012,MAX,Technology,Emerging Markets Diversified,US Mid Cap Growth,Basic Materials,US Small Cap Growth,US Mid Cap Blend,Precious Metals,US Large Cap Growth,US Large Cap Value,US Large Cap Blend,US Mid Cap Value,US Small Cap Blend,,,,BOND
4/30/2012,MAX,Technology,Emerging Markets Diversified,US Mid Cap Growth,Basic Materials,US Small Cap Growth,US Mid Cap Blend,Precious Metals,US Large Cap Growth,US Large Cap Value,US Large Cap Blend,US Mid Cap Value,US Small Cap Blend,,,,BOND
3/30/2012,MAX,Precious Metals,Basic Materials,US Large Cap Growth,Health Care,Technology,US Large Cap Blend,US Small Cap Growth,US Mid Cap Growth,US Small Cap Blend,US Mid Cap Blend,,,,,,BOND
2/29/2012,MAX,Precious Metals,Basic Materials,US Large Cap Growth,Health Care,Technology,US Large Cap Blend,US Small Cap Growth,US Mid Cap Growth,US Small Cap Blend,US Mid Cap Blend,,,,,,BOND
1/31/2012,MAX,Precious Metals,Basic Materials,US Large Cap Growth,Health Care,Technology,US Large Cap Blend,US Small Cap Growth,US Mid Cap Growth,US Small Cap Blend,US Mid Cap Blend,,,,,,BOND
12/30/2011,MIN,Precious Metals,Real Estate,Health Care,US Large Cap Growth,US Large Cap Blend,Technology,,,,,,,,,,BOND
11/30/2011,MIN,Precious Metals,Real Estate,Health Care,US Large Cap Growth,US Large Cap Blend,Technology,,,,,,,,,,BOND
10/31/2011,MIN,Precious Metals,Real Estate,Health Care,US Large Cap Growth,US Large Cap Blend,Technology,,,,,,,,,,BOND
9/30/2011,MIN,Real Estate,Health Care,US Mid Cap Growth,US Mid Cap Blend,US Small Cap Growth,US Mid Cap Value,Precious Metals,US Large Cap Growth,Basic Materials,US Small Cap Blend,US Large Cap Blend,,,,,BOND
8/31/2011,MIN,Real Estate,Health Care,US Mid Cap Growth,US Mid Cap Blend,US Small Cap Growth,US Mid Cap Value,Precious Metals,US Large Cap Growth,Basic Materials,US Small Cap Blend,US Large Cap Blend,,,,,BOND
7/29/2011,MIN,Real Estate,Health Care,US Mid Cap Growth,US Mid Cap Blend,US Small Cap Growth,US Mid Cap Value,Precious Metals,US Large Cap Growth,Basic Materials,US Small Cap Blend,US Large Cap Blend,,,,,BOND
6/30/2011,MAX,Basic Materials,US Small Cap Growth,US Small Cap Blend,Real Estate,US Mid Cap Growth,US Small Cap Value,US Mid Cap Blend,US Mid Cap Value,US Large Cap Value,US Large Cap Blend,Technology,,,,,BOND
5/31/2011,MAX,Basic Materials,US Small Cap Growth,US Small Cap Blend,Real Estate,US Mid Cap Growth,US Small Cap Value,US Mid Cap Blend,US Mid Cap Value,US Large Cap Value,US Large Cap Blend,Technology,,,,,BOND
4/29/2011,MAX,Basic Materials,US Small Cap Growth,US Small Cap Blend,Real Estate,US Mid Cap Growth,US Small Cap Value,US Mid Cap Blend,US Mid Cap Value,US Large Cap Value,US Large Cap Blend,Technology,,,,,BOND
3/31/2011,MAX,Basic Materials,US Small Cap Growth,US Mid Cap Growth,US Small Cap Blend,US Mid Cap Blend,US Small Cap Value,Precious Metals,US Large Cap Growth,US Mid Cap Value,Real Estate,Technology,,,,,BOND
2/28/2011,MAX,Basic Materials,US Small Cap Growth,US Mid Cap Growth,US Small Cap Blend,US Mid Cap Blend,US Small Cap Value,Precious Metals,US Large Cap Growth,US Mid Cap Value,Real Estate,Technology,,,,,BOND
1/31/2011,MAX,Basic Materials,US Small Cap Growth,US Mid Cap Growth,US Small Cap Blend,US Mid Cap Blend,US Small Cap Value,Precious Metals,US Large Cap Growth,US Mid Cap Value,Real Estate,Technology,,,,,BOND
12/31/2010,MAX,Precious Metals,Real Estate,Emerging Markets Diversified,Global Developed Markets,US Mid Cap Value,US Mid Cap Blend,US Mid Cap Growth,US Large Cap Growth,US Large Cap Blend,Health Care,US Large Cap Value,Basic Materials,,,,BOND
11/30/2010,MAX,Precious Metals,Real Estate,Emerging Markets Diversified,Global Developed Markets,US Mid Cap Value,US Mid Cap Blend,US Mid Cap Growth,US Large Cap Growth,US Large Cap Blend,Health Care,US Large Cap Value,Basic Materials,,,,BOND
10/29/2010,MAX,Precious Metals,Real Estate,Emerging Markets Diversified,Global Developed Markets,US Mid Cap Value,US Mid Cap Blend,US Mid Cap Growth,US Large Cap Growth,US Large Cap Blend,Health Care,US Large Cap Value,Basic Materials,,,,BOND
9/30/2010,MIN,Precious Metals,Real Estate,US Small Cap Value,US Small Cap Blend,US Mid Cap Value,US Mid Cap Blend,US Small Cap Growth,US Mid Cap Growth,US Large Cap Value,Technology,,,,,,BOND
8/31/2010,MIN,Precious Metals,Real Estate,US Small Cap Value,US Small Cap Blend,US Mid Cap Value,US Mid Cap Blend,US Small Cap Growth,US Mid Cap Growth,US Large Cap Value,Technology,,,,,,BOND
7/30/2010,MIN,Precious Metals,Real Estate,US Small Cap Value,US Small Cap Blend,US Mid Cap Value,US Mid Cap Blend,US Small Cap Growth,US Mid Cap Growth,US Large Cap Value,Technology,,,,,,BOND
6/30/2010,MAX,Real Estate,US Mid Cap Value,US Mid Cap Blend,US Mid Cap Growth,US Small Cap Value,US Small Cap Blend,US Small Cap Growth,Technology,US Large Cap Value,US Large Cap Blend,,,,,,BOND
5/28/2010,MAX,Real Estate,US Mid Cap Value,US Mid Cap Blend,US Mid Cap Growth,US Small Cap Value,US Small Cap Blend,US Small Cap Growth,Technology,US Large Cap Value,US Large Cap Blend,,,,,,BOND
4/30/2010,MAX,Real Estate,US Mid Cap Value,US Mid Cap Blend,US Mid Cap Growth,US Small Cap Value,US Small Cap Blend,US Small Cap Growth,Technology,US Large Cap Value,US Large Cap Blend,,,,,,BOND
3/31/2010,MAX,Precious Metals,Emerging Markets Diversified,Real Estate,Technology,US Large Cap Growth,Health Care,US Large Cap Blend,US Mid Cap Blend,US Mid Cap Value,US Mid Cap Growth,US Large Cap Value,,,,,BOND
2/26/2010,MAX,Precious Metals,Emerging Markets Diversified,Real Estate,Technology,US Large Cap Growth,Health Care,US Large Cap Blend,US Mid Cap Blend,US Mid Cap Value,US Mid Cap Growth,US Large Cap Value,,,,,BOND
1/29/2010,MAX,Precious Metals,Emerging Markets Diversified,Real Estate,Technology,US Large Cap Growth,Health Care,US Large Cap Blend,US Mid Cap Blend,US Mid Cap Value,US Mid Cap Growth,US Large Cap Value,,,,,BOND
12/31/2009,MAX,Real Estate,Global Developed Markets,US Mid Cap Value,Emerging Markets Diversified,US Mid Cap Blend,US Small Cap Value,Technology,US Large Cap Value,US Mid Cap Growth,US Small Cap Blend,US Large Cap Blend,,,,,BOND
11/30/2009,MAX,Real Estate,Global Developed Markets,US Mid Cap Value,Emerging Markets Diversified,US Mid Cap Blend,US Small Cap Value,Technology,US Large Cap Value,US Mid Cap Growth,US Small Cap Blend,US Large Cap Blend,,,,,BOND
10/30/2009,MAX,Real Estate,Global Developed Markets,US Mid Cap Value,Emerging Markets Diversified,US Mid Cap Blend,US Small Cap Value,Technology,US Large Cap Value,US Mid Cap Growth,US Small Cap Blend,US Large Cap Blend,,,,,BOND
9/30/2009,MAX,Emerging Markets Diversified,Global Developed Markets,Precious Metals,US Mid Cap Growth,Technology,Basic Materials,US Mid Cap Blend,US Small Cap Growth,Real Estate,US Mid Cap Value,US Large Cap Growth,US Large Cap Value,US Large Cap Blend,,,BOND
8/31/2009,MAX,Emerging Markets Diversified,Global Developed Markets,Precious Metals,US Mid Cap Growth,Technology,Basic Materials,US Mid Cap Blend,US Small Cap Growth,Real Estate,US Mid Cap Value,US Large Cap Growth,US Large Cap Value,US Large Cap Blend,,,BOND
7/31/2009,MAX,Emerging Markets Diversified,Global Developed Markets,Precious Metals,US Mid Cap Growth,Technology,Basic Materials,US Mid Cap Blend,US Small Cap Growth,Real Estate,US Mid Cap Value,US Large Cap Growth,US Large Cap Value,US Large Cap Blend,,,BOND
6/30/2009,MIN,Precious Metals,Technology,Health Care,US Large Cap Growth,US Mid Cap Growth,Emerging Markets Diversified,Basic Materials,US Large Cap Blend,US Mid Cap Blend,US Small Cap Growth,,,,,,BOND
5/29/2009,MIN,Precious Metals,Technology,Health Care,US Large Cap Growth,US Mid Cap Growth,Emerging Markets Diversified,Basic Materials,US Large Cap Blend,US Mid Cap Blend,US Small Cap Growth,,,,,,BOND
4/30/2009,MIN,Precious Metals,Technology,Health Care,US Large Cap Growth,US Mid Cap Growth,Emerging Markets Diversified,Basic Materials,US Large Cap Blend,US Mid Cap Blend,US Small Cap Growth,,,,,,BOND
3/31/2009,MIN,Precious Metals,Health Care,Basic Materials,US Large Cap Growth,US Large Cap Blend,US Large Cap Value,,,,,,,,,,BOND
2/27/2009,MIN,Precious Metals,Health Care,Basic Materials,US Large Cap Growth,US Large Cap Blend,US Large Cap Value,,,,,,,,,,BOND
1/30/2009,MIN,Precious Metals,Health Care,Basic Materials,US Large Cap Growth,US Large Cap Blend,US Large Cap Value,,,,,,,,,,BOND
12/31/2008,MIN,US Small Cap Value,US Small Cap Blend,Health Care,US Small Cap Growth,Real Estate,Technology,US Mid Cap Value,US Mid Cap Blend,US Large Cap Growth,US Large Cap Blend,,,,,,BOND
11/28/2008,MIN,US Small Cap Value,US Small Cap Blend,Health Care,US Small Cap Growth,Real Estate,Technology,US Mid Cap Value,US Mid Cap Blend,US Large Cap Growth,US Large Cap Blend,,,,,,BOND
10/31/2008,MIN,US Small Cap Value,US Small Cap Blend,Health Care,US Small Cap Growth,Real Estate,Technology,US Mid Cap Value,US Mid Cap Blend,US Large Cap Growth,US Large Cap Blend,,,,,,BOND
9/30/2008,MIN,Basic Materials,US Mid Cap Growth,Technology,Emerging Markets Diversified,US Mid Cap Blend,US Small Cap Growth,Precious Metals,US Mid Cap Value,Real Estate,US Small Cap Blend,US Large Cap Growth,US Small Cap Value,Global Developed Markets,,,BOND
8/29/2008,MIN,Basic Materials,US Mid Cap Growth,Technology,Emerging Markets Diversified,US Mid Cap Blend,US Small Cap Growth,Precious Metals,US Mid Cap Value,Real Estate,US Small Cap Blend,US Large Cap Growth,US Small Cap Value,Global Developed Markets,,,BOND
7/31/2008,MIN,Basic Materials,US Mid Cap Growth,Technology,Emerging Markets Diversified,US Mid Cap Blend,US Small Cap Growth,Precious Metals,US Mid Cap Value,Real Estate,US Small Cap Blend,US Large Cap Growth,US Small Cap Value,Global Developed Markets,,,BOND
6/30/2008,MIN,Precious Metals,Basic Materials,Emerging Markets Diversified,Global Developed Markets,Health Care,US Large Cap Growth,US Mid Cap Growth,US Mid Cap Blend,US Large Cap Blend,,,,,,,BOND
5/30/2008,MIN,Precious Metals,Basic Materials,Emerging Markets Diversified,Global Developed Markets,Health Care,US Large Cap Growth,US Mid Cap Growth,US Mid Cap Blend,US Large Cap Blend,,,,,,,BOND
4/30/2008,MIN,Precious Metals,Basic Materials,Emerging Markets Diversified,Global Developed Markets,Health Care,US Large Cap Growth,US Mid Cap Growth,US Mid Cap Blend,US Large Cap Blend,,,,,,,BOND
3/31/2008,MIN,Precious Metals,Emerging Markets Diversified,Health Care,Basic Materials,Global Developed Markets,US Large Cap Growth,US Mid Cap Growth,Technology,US Large Cap Blend,,,,,,,BOND
2/29/2008,MIN,Precious Metals,Emerging Markets Diversified,Health Care,Basic Materials,Global Developed Markets,US Large Cap Growth,US Mid Cap Growth,Technology,US Large Cap Blend,,,,,,,BOND
1/31/2008,MIN,Precious Metals,Emerging Markets Diversified,Health Care,Basic Materials,Global Developed Markets,US Large Cap Growth,US Mid Cap Growth,Technology,US Large Cap Blend,,,,,,,BOND
12/31/2007,MAX,Emerging Markets Diversified,Basic Materials,Technology,Precious Metals,US Large Cap Growth,US Small Cap Growth,US Mid Cap Growth,US Large Cap Blend,Health Care,US Large Cap Value,,,,,,BOND
11/30/2007,MAX,Emerging Markets Diversified,Basic Materials,Technology,Precious Metals,US Large Cap Growth,US Small Cap Growth,US Mid Cap Growth,US Large Cap Blend,Health Care,US Large Cap Value,,,,,,BOND
10/31/2007,MAX,Emerging Markets Diversified,Basic Materials,Technology,Precious Metals,US Large Cap Growth,US Small Cap Growth,US Mid Cap Growth,US Large Cap Blend,Health Care,US Large Cap Value,,,,,,BOND
9/28/2007,MAX,Basic Materials,Emerging Markets Diversified,US Mid Cap Growth,US Mid Cap Blend,Technology,US Large Cap Value,US Mid Cap Value,US Large Cap Blend,US Small Cap Growth,Global Developed Markets,,,,,,BOND
8/31/2007,MAX,Basic Materials,Emerging Markets Diversified,US Mid Cap Growth,US Mid Cap Blend,Technology,US Large Cap Value,US Mid Cap Value,US Large Cap Blend,US Small Cap Growth,Global Developed Markets,,,,,,BOND
7/31/2007,MAX,Basic Materials,Emerging Markets Diversified,US Mid Cap Growth,US Mid Cap Blend,Technology,US Large Cap Value,US Mid Cap Value,US Large Cap Blend,US Small Cap Growth,Global Developed Markets,,,,,,BOND
6/29/2007,MAX,Real Estate,Precious Metals,US Mid Cap Value,Global Developed Markets,US Mid Cap Blend,Emerging Markets Diversified,US Mid Cap Growth,US Small Cap Growth,US Small Cap Blend,US Small Cap Value,US Large Cap Value,,,,,BOND
5/31/2007,MAX,Real Estate,Precious Metals,US Mid Cap Value,Global Developed Markets,US Mid Cap Blend,Emerging Markets Diversified,US Mid Cap Growth,US Small Cap Growth,US Small Cap Blend,US Small Cap Value,US Large Cap Value,,,,,BOND
4/30/2007,MAX,Real Estate,Precious Metals,US Mid Cap Value,Global Developed Markets,US Mid Cap Blend,Emerging Markets Diversified,US Mid Cap Growth,US Small Cap Growth,US Small Cap Blend,US Small Cap Value,US Large Cap Value,,,,,BOND
3/30/2007,MAX,Real Estate,Emerging Markets Diversified,Basic Materials,Precious Metals,Technology,US Small Cap Value,Global Developed Markets,US Mid Cap Value,US Mid Cap Blend,US Small Cap Blend,US Mid Cap Growth,US Small Cap Growth,US Large Cap Value,US Large Cap Blend,US Large Cap Growth,BOND
2/28/2007,MAX,Real Estate,Emerging Markets Diversified,Basic Materials,Precious Metals,Technology,US Small Cap Value,Global Developed Markets,US Mid Cap Value,US Mid Cap Blend,US Small Cap Blend,US Mid Cap Growth,US Small Cap Growth,US Large Cap Value,US Large Cap Blend,US Large Cap Growth,BOND
1/31/2007,MAX,Real Estate,Emerging Markets Diversified,Basic Materials,Precious Metals,Technology,US Small Cap Value,Global Developed Markets,US Mid Cap Value,US Mid Cap Blend,US Small Cap Blend,US Mid Cap Growth,US Small Cap Growth,US Large Cap Value,US Large Cap Blend,US Large Cap Growth,BOND
12/29/2006,MAX,Real Estate,Global Developed Markets,Precious Metals,Health Care,Emerging Markets Diversified,Technology,US Mid Cap Value,US Large Cap Value,US Large Cap Blend,US Large Cap Growth,US Small Cap Value,,,,,BOND
11/30/2006,MAX,Real Estate,Global Developed Markets,Precious Metals,Health Care,Emerging Markets Diversified,Technology,US Mid Cap Value,US Large Cap Value,US Large Cap Blend,US Large Cap Growth,US Small Cap Value,,,,,BOND
10/31/2006,MAX,Real Estate,Global Developed Markets,Precious Metals,Health Care,Emerging Markets Diversified,Technology,US Mid Cap Value,US Large Cap Value,US Large Cap Blend,US Large Cap Growth,US Small Cap Value,,,,,BOND
9/29/2006,MIN,Real Estate,Basic Materials,Global Developed Markets,Precious Metals,US Mid Cap Value,US Large Cap Value,US Small Cap Value,US Mid Cap Blend,US Large Cap Blend,US Small Cap Blend,,,,,,BOND
8/31/2006,MIN,Real Estate,Basic Materials,Global Developed Markets,Precious Metals,US Mid Cap Value,US Large Cap Value,US Small Cap Value,US Mid Cap Blend,US Large Cap Blend,US Small Cap Blend,,,,,,BOND
