Date,sigma401k Aggressive ,Aggressive Buy and Hold 
2/1/1984,-0.037,-0.037
3/1/1984,0.010,0.010
4/2/1984,-0.001,0.005
5/1/1984,-0.041,-0.057
6/1/1984,0.004,0.016
7/2/1984,0.044,-0.008
8/1/1984,0.040,0.097
9/4/1984,0.016,-0.001
10/1/1984,0.006,0.006
11/1/1984,-0.012,-0.012
12/3/1984,0.021,0.021
1/2/1985,0.040,0.069
2/1/1985,-0.014,0.005
3/1/1985,0.014,0.000
4/1/1985,-0.001,-0.001
5/1/1985,0.057,0.057
6/3/1985,0.011,0.011
7/1/1985,-0.005,-0.005
8/1/1985,-0.009,-0.009
9/3/1985,-0.030,-0.030
10/1/1985,0.032,0.041
11/1/1985,0.038,0.061
12/2/1985,0.051,0.046
1/2/1986,0.003,0.003
2/3/1986,0.072,0.072
3/3/1986,0.053,0.053
4/1/1986,-0.013,-0.013
5/1/1986,0.040,0.040
6/2/1986,0.020,0.020
7/1/1986,-0.052,-0.052
8/1/1986,0.067,0.067
9/2/1986,-0.080,-0.080
10/1/1986,0.051,0.051
11/3/1986,0.021,0.021
12/1/1986,-0.025,-0.025
1/2/1987,0.119,0.119
2/2/1987,0.034,0.034
3/2/1987,0.021,0.021
4/1/1987,-0.015,-0.015
5/1/1987,0.006,0.006
6/1/1987,0.044,0.044
7/1/1987,0.041,0.041
8/3/1987,0.031,0.031
9/1/1987,-0.025,-0.025
10/1/1987,-0.191,-0.191
11/2/1987,-0.076,-0.076
12/1/1987,0.068,0.068
1/4/1988,0.044,0.041
2/1/1988,0.023,0.039
3/1/1988,-0.025,-0.032
4/4/1988,0.007,0.007
5/2/1988,0.003,0.003
6/1/1988,0.041,0.041
7/1/1988,-0.006,-0.006
8/1/1988,-0.035,-0.035
9/1/1988,0.039,0.039
10/3/1988,0.020,0.025
11/1/1988,-0.016,-0.018
12/1/1988,0.004,0.013
1/3/1989,0.066,0.066
2/1/1989,-0.028,-0.028
3/1/1989,0.020,0.020
4/3/1989,0.046,0.046
5/1/1989,0.036,0.036
6/1/1989,-0.003,-0.003
7/3/1989,0.083,0.083
8/1/1989,0.012,0.012
9/1/1989,-0.006,-0.006
10/2/1989,-0.019,-0.019
11/1/1989,0.016,0.016
12/1/1989,0.019,0.019
1/2/1990,-0.065,-0.065
2/1/1990,0.007,0.007
3/1/1990,0.022,0.022
4/2/1990,-0.026,-0.026
5/1/1990,0.088,0.088
6/1/1990,-0.007,-0.007
7/2/1990,-0.003,-0.003
8/1/1990,-0.088,-0.088
9/4/1990,-0.044,-0.044
10/1/1990,0.010,-0.004
11/1/1990,0.039,0.057
12/3/1990,0.019,0.024
1/2/1991,0.039,0.039
2/1/1991,0.060,0.060
3/1/1991,0.021,0.021
4/1/1991,0.001,0.001
5/1/1991,0.035,0.035
6/3/1991,-0.043,-0.043
7/1/1991,0.041,0.041
8/1/1991,0.021,0.021
9/3/1991,-0.014,-0.014
10/1/1991,0.011,0.011
11/1/1991,-0.038,-0.038
12/2/1991,0.105,0.105
1/2/1992,-0.022,-0.022
2/3/1992,0.009,0.009
3/2/1992,-0.020,-0.020
4/1/1992,0.025,0.025
5/1/1992,0.003,0.003
6/1/1992,-0.013,-0.013
7/1/1992,0.039,0.039
8/3/1992,-0.020,-0.020
9/1/1992,0.011,0.011
10/1/1992,-0.002,-0.002
11/2/1992,0.027,0.027
12/1/1992,0.011,0.011
1/4/1993,0.009,0.009
2/1/1993,0.013,0.013
3/1/1993,0.016,0.016
4/1/1993,-0.022,-0.022
5/3/1993,0.020,0.020
6/1/1993,0.003,0.003
7/1/1993,-0.005,-0.005
8/2/1993,0.034,0.034
9/1/1993,-0.008,-0.008
10/1/1993,0.016,0.016
11/1/1993,-0.013,-0.013
12/1/1993,0.009,0.009
1/3/1994,0.031,0.031
2/1/1994,-0.030,-0.030
3/1/1994,-0.044,-0.044
4/4/1994,-0.009,0.009
5/2/1994,0.006,0.012
6/1/1994,-0.015,-0.025
7/1/1994,0.030,0.030
8/1/1994,0.034,0.034
9/1/1994,-0.027,-0.027
10/3/1994,0.018,0.018
11/1/1994,-0.035,-0.035
12/1/1994,0.012,0.012
1/3/1995,0.021,0.024
2/1/1995,0.037,0.036
3/1/1995,0.017,0.026
4/3/1995,0.026,0.026
5/1/1995,0.040,0.040
6/1/1995,0.020,0.020
7/3/1995,0.027,0.027
8/1/1995,0.002,0.002
9/1/1995,0.037,0.037
10/2/1995,-0.003,-0.003
11/1/1995,0.039,0.039
12/1/1995,0.017,0.017
1/2/1996,0.029,0.029
2/1/1996,0.004,0.004
3/1/1996,0.005,0.005
4/1/1996,0.010,0.010
5/1/1996,0.020,0.020
6/3/1996,0.004,0.004
7/1/1996,-0.040,-0.040
8/1/1996,0.015,0.015
9/3/1996,0.052,0.052
10/1/1996,0.026,0.026
11/1/1996,0.069,0.069
12/2/1996,-0.021,-0.021
1/2/1997,0.055,0.055
2/3/1997,0.005,0.005
3/3/1997,-0.040,-0.040
4/1/1997,0.055,0.055
5/1/1997,0.054,0.054
6/2/1997,0.041,0.041
7/1/1997,0.073,0.073
8/1/1997,-0.052,-0.052
9/2/1997,0.051,0.051
10/1/1997,-0.030,-0.030
11/3/1997,0.041,0.041
12/1/1997,0.015,0.015
1/2/1998,0.011,0.011
2/2/1998,0.063,0.063
3/2/1998,0.046,0.046
4/1/1998,0.008,0.008
